('1', '11')
('6', '19')
('9', '19')
('9', '22')
('15', '23')
('30', '31')
('31', '32')
('36', '38')
('36', '39')
('36', '40')
('36', '41')
('36', '42')
('36', '44')
('36', '45')
('37', '38')
('37', '39')
('37', '41')
('37', '43')
('38', '39')
('38', '40')
('38', '41')
('38', '42')
('38', '43')
('38', '44')
('38', '45')
('39', '40')
('39', '41')
('39', '42')
('39', '43')
('39', '44')
('39', '45')
('40', '41')
('40', '42')
('40', '44')
('40', '45')
('41', '42')
('41', '44')
('41', '45')
('42', '44')
('42', '45')
('44', '45')
('38', '39')
('38', '47')
('38', '48')
('39', '47')
('39', '48')
('47', '48')
('38', '39')
('38', '48')
('38', '49')
('38', '55')
('38', '56')
('39', '48')
('39', '49')
('39', '51')
('39', '54')
('39', '55')
('39', '56')
('48', '49')
('48', '51')
('48', '54')
('48', '55')
('48', '56')
('49', '56')
('32', '41')
('32', '60')
('32', '62')
('41', '60')
('41', '61')
('41', '62')
('39', '48')
('65', '66')
('65', '68')
('67', '68')
('48', '70')
('48', '71')
('39', '75')
('39', '76')
('39', '77')
('39', '78')
('39', '79')
('36', '38')
('36', '39')
('36', '41')
('36', '48')
('36', '79')
('38', '39')
('38', '41')
('38', '48')
('38', '79')
('38', '80')
('39', '41')
('39', '48')
('39', '79')
('39', '80')
('39', '81')
('41', '48')
('41', '79')
('41', '80')
('41', '81')
('48', '79')
('48', '80')
('48', '81')
('41', '85')
('41', '88')
('39', '48')
('39', '89')
('39', '90')
('39', '91')
('39', '92')
('39', '93')
('39', '94')
('39', '95')
('39', '96')
('39', '98')
('39', '101')
('48', '89')
('48', '90')
('48', '91')
('48', '92')
('48', '93')
('48', '94')
('48', '95')
('48', '96')
('48', '98')
('48', '101')
('89', '94')
('89', '98')
('89', '101')
('95', '96')
('95', '101')
('98', '101')
('99', '101')
('36', '38')
('36', '39')
('36', '48')
('36', '89')
('38', '39')
('38', '48')
('38', '89')
('39', '48')
('39', '89')
('48', '89')
('39', '41')
('39', '102')
('39', '103')
('39', '104')
('39', '105')
('39', '106')
('39', '107')
('39', '108')
('41', '102')
('41', '103')
('41', '104')
('41', '105')
('41', '107')
('106', '107')
('107', '108')
('38', '39')
('38', '41')
('38', '110')
('39', '41')
('39', '109')
('39', '110')
('41', '110')
('39', '113')
('39', '116')
('39', '117')
('115', '116')
('48', '134')
('48', '136')
('39', '48')
('39', '141')
('39', '146')
('39', '147')
('39', '148')
('48', '140')
('48', '141')
('48', '146')
('48', '147')
('48', '148')
('39', '150')
('39', '152')
('151', '152')
('38', '39')
('38', '56')
('38', '155')
('39', '56')
('39', '155')
('48', '156')
('48', '158')
('48', '159')
('48', '160')
('158', '159')
('39', '41')
('39', '48')
('41', '48')
('164', '166')
('38', '39')
('38', '48')
('38', '170')
('39', '48')
('39', '170')
('39', '173')
('48', '170')
('32', '39')
('32', '41')
('32', '48')
('32', '178')
('39', '41')
('39', '48')
('39', '174')
('39', '175')
('39', '176')
('39', '178')
('41', '48')
('41', '176')
('41', '178')
('48', '174')
('48', '176')
('48', '178')
('175', '176')
('175', '178')
('176', '178')
('32', '38')
('32', '39')
('32', '47')
('32', '48')
('32', '179')
('38', '39')
('38', '47')
('38', '48')
('38', '179')
('38', '183')
('39', '47')
('39', '48')
('39', '179')
('39', '181')
('39', '182')
('39', '183')
('47', '48')
('48', '179')
('48', '180')
('48', '181')
('48', '182')
('48', '183')
('179', '180')
('39', '184')
('39', '185')
('39', '186')
('185', '186')
('36', '38')
('36', '41')
('36', '48')
('38', '41')
('38', '48')
('41', '48')
('48', '140')
('48', '188')
('39', '48')
('39', '186')
('39', '189')
('39', '191')
('39', '192')
('39', '193')
('39', '195')
('39', '196')
('39', '197')
('39', '198')
('39', '199')
('39', '200')
('48', '186')
('48', '189')
('48', '192')
('48', '195')
('48', '197')
('48', '199')
('48', '200')
('39', '201')
('39', '203')
('39', '204')
('39', '206')
('39', '207')
('39', '208')
('39', '209')
('39', '65')
('39', '193')
('39', '212')
('39', '213')
('179', '222')
('39', '41')
('39', '48')
('39', '228')
('41', '48')
('41', '228')
('48', '228')
('48', '229')
('48', '230')
('36', '38')
('36', '39')
('38', '39')
('38', '232')
('38', '237')
('38', '242')
('39', '234')
('39', '237')
('39', '239')
('39', '242')
('232', '237')
('237', '239')
('39', '41')
('39', '48')
('39', '246')
('39', '248')
('39', '249')
('39', '250')
('41', '48')
('41', '246')
('41', '248')
('41', '249')
('41', '250')
('48', '246')
('48', '248')
('48', '249')
('48', '250')
('39', '48')
('39', '65')
('39', '251')
('48', '65')
('48', '251')
('48', '230')
('39', '48')
('39', '66')
('39', '78')
('39', '242')
('39', '255')
('39', '256')
('39', '258')
('39', '259')
('39', '260')
('39', '261')
('48', '66')
('48', '78')
('48', '242')
('48', '255')
('48', '256')
('48', '258')
('48', '259')
('48', '260')
('78', '255')
('242', '255')
('255', '259')
('258', '259')
('259', '260')
('39', '48')
('39', '262')
('36', '38')
('36', '39')
('36', '264')
('38', '39')
('38', '225')
('38', '264')
('38', '266')
('39', '225')
('39', '264')
('39', '265')
('39', '266')
('39', '242')
('39', '269')
('39', '270')
('39', '271')
('39', '48')
('39', '79')
('39', '146')
('39', '237')
('39', '256')
('39', '272')
('39', '273')
('48', '79')
('48', '146')
('48', '237')
('48', '256')
('48', '272')
('48', '273')
('237', '256')
('32', '38')
('32', '39')
('32', '48')
('32', '279')
('32', '282')
('32', '283')
('38', '39')
('38', '48')
('38', '276')
('38', '281')
('39', '48')
('39', '276')
('39', '278')
('39', '279')
('39', '281')
('39', '282')
('39', '283')
('48', '276')
('48', '278')
('48', '279')
('48', '281')
('48', '282')
('48', '283')
('39', '48')
('39', '68')
('48', '68')
('38', '39')
('38', '48')
('38', '95')
('38', '105')
('38', '286')
('39', '48')
('39', '95')
('39', '96')
('39', '105')
('39', '284')
('39', '285')
('39', '286')
('48', '95')
('48', '96')
('48', '105')
('48', '284')
('48', '285')
('48', '286')
('95', '96')
('95', '286')
('96', '284')
('39', '41')
('39', '48')
('39', '212')
('39', '288')
('39', '289')
('39', '290')
('39', '292')
('39', '297')
('39', '299')
('41', '48')
('41', '288')
('41', '289')
('41', '297')
('48', '212')
('48', '289')
('48', '290')
