@relation 'risk-train.txt-weka.filters.unsupervised.attribute.Remove-R17-25-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R16-19-weka.filters.unsupervised.attribute.Remove-R16-22-weka.filters.unsupervised.attribute.Remove-R11-12,20-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R7,9-11,13,15-18'

@attribute CLASS {0,1}
@attribute B_EMAIL {1,0}
@attribute B_TELEFON {0,1}
@attribute FLAG_LRIDENTISCH {1,0}
@attribute Z_METHODE {0,1,2,3}
@attribute Z_CARD_ART {0,1,2,3}
@attribute Z_LAST_NAME {1,0}
@attribute CHK_LADR {0,1}
@attribute NEUKUNDE {1,0}

@data
0,1,0,1,0,?,?,0,1
0,1,1,0,1,0,1,0,1
0,1,0,1,0,?,?,0,1
0,0,1,1,0,?,?,0,0
0,1,1,1,1,1,1,0,1
0,0,0,0,1,1,1,0,0
0,1,0,1,0,?,?,0,0
0,0,0,1,0,?,?,0,1
0,1,0,0,1,0,1,0,0
1,0,0,1,0,?,?,0,1
0,0,0,0,1,1,1,0,0
0,0,0,1,0,?,?,0,0
0,1,0,1,0,?,?,0,1
0,0,0,1,0,?,?,0,1
0,1,0,0,1,1,1,0,0
0,0,0,0,1,0,1,0,1
0,1,0,0,2,?,0,1,0
0,1,0,1,0,?,?,0,1
0,0,0,0,1,1,1,0,0
0,1,0,1,2,?,1,1,0
0,1,0,1,1,1,1,0,1
0,1,0,1,0,?,?,0,1
0,1,0,1,0,?,?,0,0
0,1,0,1,0,?,?,0,1
0,1,0,1,1,0,1,0,0
0,1,1,1,0,?,?,0,1
0,0,0,1,0,?,?,0,1
0,1,0,1,2,?,1,0,0
0,1,1,0,1,1,1,0,0
0,1,0,1,0,?,?,0,0
0,1,0,1,0,?,?,0,1
0,1,0,1,1,1,1,1,0
0,1,1,1,0,?,?,0,1
0,0,0,1,0,?,?,0,1
0,1,0,0,1,0,1,0,0
1,0,0,0,1,1,1,0,1
0,1,0,1,0,?,?,0,0
0,1,0,1,0,?,?,0,0
0,1,1,1,0,?,?,0,1
0,1,0,0,1,1,1,0,1
0,0,0,1,0,?,?,0,1
0,0,0,1,0,?,?,0,0
0,1,0,1,1,1,1,0,0
0,1,0,0,1,0,1,0,0
0,0,0,0,2,?,1,0,0
0,1,1,1,0,?,?,0,1
0,1,0,1,0,?,?,0,1
0,1,0,1,0,?,?,0,1
0,1,1,1,0,?,?,0,1
0,1,0,0,3,2,1,0,0
0,0,0,1,0,?,?,0,0
0,1,0,1,0,?,?,0,0
0,1,0,1,0,?,?,0,1
0,0,0,1,0,?,?,0,1
1,1,0,0,1,0,1,1,0
0,1,0,0,2,?,1,0,0
0,1,1,0,1,1,1,0,1
0,1,1,0,1,0,1,0,0
0,1,0,1,0,?,?,0,1
0,1,1,1,0,?,?,0,1
0,1,0,1,1,0,0,0,0
0,0,0,1,0,?,?,0,0
0,1,0,0,2,?,1,0,1
0,0,0,0,2,?,1,0,1
0,1,0,0,2,?,1,0,1
0,1,0,0,1,0,1,0,1
0,1,0,0,1,1,1,0,1
0,1,0,1,0,?,?,0,0
0,1,1,1,0,?,?,0,1
1,1,0,0,1,0,1,0,1
0,1,0,1,0,?,?,0,1
0,1,1,1,0,?,?,0,0
0,1,1,1,0,?,?,0,0
0,0,1,1,0,?,?,0,0
0,1,0,1,0,?,?,0,0
0,1,0,1,1,0,0,0,1
0,1,0,0,1,0,1,0,1
0,1,0,0,3,2,1,0,0
0,1,0,1,0,?,?,0,1
0,1,1,0,1,0,1,0,1
0,1,0,1,1,1,1,0,0
0,1,0,1,0,?,?,0,0
0,1,0,1,0,?,?,0,0
0,1,0,1,2,?,1,0,1
0,1,0,0,1,0,1,0,1
0,1,0,1,0,?,?,0,0
0,1,0,1,0,?,?,0,1
0,1,1,1,0,?,?,0,0
0,1,0,1,2,?,0,0,1
0,1,1,1,0,?,?,1,0
0,0,0,1,0,?,?,0,1
0,1,0,1,2,?,1,0,0
0,0,1,1,1,0,1,0,0
0,1,0,1,1,3,1,0,1
0,0,0,1,0,?,?,0,0
0,1,0,0,1,1,1,0,0
1,0,0,0,2,?,1,0,1
1,1,0,0,1,1,1,0,1
0,1,0,0,1,1,1,0,1
0,1,1,1,1,1,1,0,0
0,0,0,1,0,?,?,0,1
0,1,0,1,0,?,?,0,0
1,0,0,0,1,0,1,0,1
0,1,0,0,1,1,1,0,1
0,1,0,1,0,?,?,0,1
0,1,0,1,0,?,?,0,0
0,1,0,1,2,?,1,0,1
0,1,0,1,0,?,?,0,0
0,1,0,0,2,?,1,0,1
0,1,0,1,0,?,?,0,1
0,0,0,1,0,?,?,0,1
0,1,0,0,1,1,1,0,1
0,1,0,1,0,?,?,0,1
0,1,0,0,1,1,1,0,0
0,1,0,0,1,1,1,0,0
0,0,0,1,0,?,?,0,0
0,1,0,1,0,?,?,0,1
0,1,0,1,0,?,?,0,1
0,1,0,0,3,2,1,0,0
0,0,0,1,0,?,?,0,1
0,1,1,0,1,0,1,0,0
0,1,0,0,1,1,1,0,1
0,1,0,1,0,?,?,0,1
0,1,0,0,1,1,1,0,0
0,1,1,1,2,?,1,0,1
0,1,1,1,2,?,1,0,0
0,1,0,1,0,?,?,0,0
0,0,0,1,0,?,?,0,0
0,1,0,0,2,?,1,1,0
0,0,0,1,0,?,?,0,0
0,0,0,1,3,2,1,0,0
0,1,0,1,0,?,?,0,0
0,1,0,0,2,?,1,0,0
0,1,0,0,1,1,1,0,1
0,1,0,0,1,0,1,0,0
0,1,0,0,2,?,1,0,1
0,1,0,0,3,2,1,0,0
0,1,0,0,1,1,1,0,1
0,1,0,0,1,1,1,0,1
0,1,0,0,1,0,1,0,1
0,0,1,0,1,1,1,0,0
1,1,0,0,1,0,1,0,1
0,1,0,1,0,?,?,0,1
0,1,0,1,1,1,1,0,0
0,0,1,1,1,0,1,0,0
0,1,0,0,1,1,1,0,0
0,1,0,1,0,?,?,0,0
0,1,0,1,0,?,?,0,1
0,1,0,0,1,1,1,0,1
0,1,1,1,0,?,?,1,0
0,0,1,1,0,?,?,0,1
1,0,1,1,0,?,?,0,0
0,1,0,1,1,1,1,0,0
0,1,1,1,1,0,1,0,1
0,0,0,0,1,1,1,1,0
1,1,0,0,1,1,1,0,1
0,1,0,1,0,?,?,0,1
0,1,1,0,1,1,1,0,1
1,1,0,0,1,1,1,0,0
1,1,0,1,1,1,1,0,1
0,1,0,1,0,?,?,0,0
0,1,0,1,0,?,?,0,0
0,1,0,1,0,?,?,0,1
1,0,1,0,1,0,1,0,1
0,1,0,1,0,?,?,0,0
0,1,0,0,3,2,1,0,0
0,1,0,1,0,?,?,0,1
0,1,0,1,0,?,?,0,1
0,0,0,0,1,0,1,0,1
0,1,0,1,0,?,?,0,1
0,0,0,1,0,?,?,0,0
0,0,0,1,0,?,?,0,0
0,1,0,1,0,?,?,0,0
0,1,0,1,1,0,1,0,0
0,1,0,1,0,?,?,0,1
0,1,1,1,0,?,?,0,0
0,1,0,1,1,1,1,0,0
0,1,0,1,0,?,?,0,0
0,1,0,1,0,?,?,0,1
0,1,0,0,1,1,1,0,0
0,1,1,0,2,?,1,0,0
1,0,0,1,0,?,?,0,1
0,1,1,1,0,?,?,0,1
0,1,0,1,3,2,1,0,0
0,1,0,0,1,1,1,0,0
0,0,0,1,0,?,?,0,0
0,1,0,1,2,?,1,0,1
0,0,0,1,1,0,0,0,0
0,1,0,0,1,0,1,0,1
0,1,0,0,1,0,1,0,0
0,0,1,1,0,?,?,0,0
0,1,0,1,0,?,?,0,0
0,1,0,1,1,1,1,1,0
0,1,0,1,0,?,?,0,1
0,1,0,1,0,?,?,0,0
0,1,0,1,0,?,?,0,1
